[0.157, 0.0512]
[0.1557, 0.0504]
[0.1545, 0.0493]
[0.1533, 0.0485]
[0.153, 0.048]
[0.155, 0.049]
[0.1575, 0.0502]
[0.1617, 0.0523]
[0.1661, 0.0547]
[0.1693, 0.0561]
[0.1726, 0.0577]
[0.1761, 0.0592]
[0.1816, 0.0622]
[0.1854, 0.0639]
[0.1914, 0.0669]
[0.1998, 0.0708]
[0.2064, 0.0742]
[0.211, 0.0763]
[0.2216, 0.0815]
[0.2264, 0.0837]
[0.2314, 0.0859]
[0.2364, 0.0882]
[0.2264, 0.0837]
[0.1998, 0.0708]
[0.2042, 0.0728]
[0.211, 0.0763]
[0.2156, 0.0784]
[0.2216, 0.0815]
[0.2264, 0.0837]
[0.2314, 0.0859]
[0.2364, 0.0882]
[0.2376, 0.0893]
[0.2427, 0.0916]
[0.2479, 0.094]
[0.2531, 0.0963]
[0.2584, 0.0988]
[0.2597, 0.0997]
[0.265, 0.1021]
[0.2704, 0.1046]
[0.277, 0.1082]
[0.2825, 0.1106]
[0.2879, 0.1131]
[0.2919, 0.115]
[0.2987, 0.1186]
[0.3096, 0.1235]
[0.3095, 0.1239]
[0.3149, 0.1263]
[0.3204, 0.1287]
[0.3257, 0.1313]
[0.3297, 0.1332]
[0.3364, 0.1366]
[0.3404, 0.1384]
[0.3456, 0.1412]
[0.3508, 0.1435]
[0.3561, 0.1459]
[0.3612, 0.1484]
[0.365, 0.1503]
[0.3751, 0.1551]
[0.3788, 0.1569]
[0.3838, 0.1594]
[0.3835, 0.1601]
[0.3833, 0.1605]
[0.3829, 0.1618]
[0.3826, 0.1627]
[0.382, 0.1642]
[0.3817, 0.1652]
[0.3814, 0.1659]
[0.3807, 0.1678]
[0.3803, 0.169]
[0.38, 0.1698]
[0.3791, 0.1724]
[0.3787, 0.1733]
[0.3782, 0.1748]
[0.3779, 0.1758]
[0.3764, 0.18]
[0.376, 0.1811]
[0.3753, 0.1828]
[0.3749, 0.1839]
[0.3743, 0.1857]
[0.3736, 0.1876]
[0.3732, 0.1889]
[0.3725, 0.1908]
[0.372, 0.1921]
[0.3712, 0.1942]
[0.3707, 0.1956]
[0.37, 0.1977]
[0.3695, 0.1991]
[0.3687, 0.2013]
[0.3679, 0.2036]
[0.3673, 0.2051]
[0.3659, 0.209]
[0.365, 0.2114]
[0.3644, 0.2131]
[0.3636, 0.2155]
[0.362, 0.2198]
[0.3614, 0.2215]
[0.3595, 0.2268]
[0.3579, 0.2313]
[0.3572, 0.2332]
[0.3562, 0.2359]
[0.3555, 0.2378]
[0.3545, 0.2407]
[0.3538, 0.2426]
[0.3528, 0.2455]
[0.3517, 0.2484]
[0.351, 0.2504]
[0.3528, 0.2521]
[0.3555, 0.2548]
[0.3565, 0.2557]
[0.3591, 0.2555]
[0.3619, 0.2582]
[0.3656, 0.2618]
[0.3697, 0.2615]
[0.3726, 0.2643]
[0.3756, 0.267]
[0.3788, 0.2658]
[0.3818, 0.2686]
[0.3828, 0.2695]
[0.3858, 0.2693]
[0.3878, 0.2712]
[0.3899, 0.2731]
[0.393, 0.2759]
[0.3976, 0.2756]
[0.405, 0.2793]
[0.406, 0.2802]
[0.4082, 0.2821]
[0.4093, 0.2831]
[0.4125, 0.286]
[0.4175, 0.2857]
[0.4253, 0.2893]
[0.4297, 0.2932]
[0.4309, 0.2941]
[0.4349, 0.2929]
[0.4384, 0.2958]
[0.4465, 0.2994]
[0.4566, 0.3029]
[0.4578, 0.3039]
[0.4669, 0.3063]
[0.4693, 0.3082]
[0.4716, 0.3101]
[0.4778, 0.3117]
[0.4801, 0.3136]
[0.4872, 0.3141]
[0.4895, 0.3159]
[0.4919, 0.3177]
[0.4902, 0.3199]
[0.4985, 0.3212]
[0.5028, 0.3228]
[0.5051, 0.3246]
[0.5111, 0.324]
[0.5134, 0.3257]
[0.5186, 0.3262]
[0.522, 0.3287]
[0.5294, 0.3307]
[0.5275, 0.3329]
[0.5316, 0.3324]
[0.5367, 0.3327]
[0.5417, 0.3311]
[0.5508, 0.3308]
